System Time, Elapsed Time (sec), Package Power (Watt), CPU Power (Watt), DRAM Power (Watt), GPU Power (Watt), E-Core Frequency (Mhz), P-Core Frequency (Mhz), GPU Frequency (Mhz), CPU MIN Temperature (C), CPU AVG Temperature (C), CPU MAX Temperature (C), GPU AVG Temperature (C), CPU Utilization (%), E-Core Utilization (%), P-Core Utilization (%), GPU Utilization (%)
17:47:42.338, 50.971, 2.348, 1.290, 0.420, 0.000, 1082, 1568, 0, 58, 60, 63, 58, 17.419, 10.825, 19.621, 39.000
17:47:43.329, 51.962, 0.402, 0.226, 0.130, 0.000, 993, 832, 0, 56, 58, 61, 58, 9.137, 9.091, 9.153, 2.000
17:47:44.329, 52.962, 0.334, 0.212, 0.108, 0.000, 999, 820, 0, 56, 58, 60, 57, 8.864, 6.500, 9.651, 1.000
17:47:45.329, 53.962, 0.402, 0.216, 0.118, 0.000, 1008, 811, 0, 56, 58, 61, 57, 8.761, 5.528, 9.833, 1.000
17:47:46.361, 54.994, 5.770, 3.480, 0.764, 0.058, 1395, 2452, 78, 55, 57, 60, 58, 20.648, 17.391, 21.725, 18.000
17:47:47.349, 55.982, 9.730, 5.860, 1.230, 0.118, 1788, 3153, 110, 57, 59, 62, 58, 37.738, 35.354, 38.540, 31.000
17:47:48.329, 56.962, 5.166, 2.594, 0.860, 0.000, 1111, 2539, 0, 58, 60, 63, 58, 16.051, 10.256, 17.966, 26.000
17:47:49.314, 57.947, 0.402, 0.154, 0.100, 0.000, 996, 778, 0, 57, 59, 62, 58, 11.592, 8.629, 12.585, 2.000
17:47:50.330, 58.963, 0.402, 0.240, 0.152, 0.000, 1042, 833, 0, 56, 58, 61, 57, 9.877, 8.867, 10.214, 8.000
17:47:51.329, 59.962, 0.804, 0.408, 0.240, 0.040, 1249, 1611, 34, 56, 58, 60, 58, 12.376, 14.428, 11.697, 13.000
17:47:52.359, 60.992, 8.656, 5.122, 1.012, 0.130, 1658, 3026, 133, 56, 58, 60, 57, 30.244, 19.417, 33.876, 37.000
17:47:53.321, 61.954, 1.744, 0.794, 0.286, 0.000, 1099, 1215, 0, 58, 60, 63, 58, 16.167, 11.458, 17.739, 27.000
17:47:54.329, 62.962, 0.468, 0.208, 0.126, 0.000, 999, 821, 0, 56, 58, 62, 58, 9.777, 9.406, 9.901, 3.000
17:47:55.340, 63.973, 0.938, 0.344, 0.218, 0.000, 1044, 1086, 0, 56, 58, 60, 57, 12.792, 14.778, 12.131, 1.000
17:47:56.339, 64.972, 0.670, 0.308, 0.118, 0.000, 996, 890, 0, 55, 58, 61, 57, 8.794, 5.556, 9.866, 1.000
17:47:57.327, 65.960, 0.536, 0.202, 0.128, 0.000, 995, 811, 0, 56, 58, 60, 57, 8.906, 8.629, 8.998, 1.000
17:47:58.349, 66.982, 1.140, 0.870, 0.302, 0.022, 1452, 1466, 64, 56, 57, 61, 57, 15.450, 18.137, 14.563, 12.000
17:47:59.370, 68.003, 8.120, 5.056, 0.972, 0.138, 1683, 2947, 142, 57, 58, 61, 57, 31.824, 15.942, 37.213, 38.000
17:48:00.320, 68.953, 1.274, 0.594, 0.296, 0.002, 1095, 1183, 5, 57, 59, 63, 58, 13.210, 14.286, 12.852, 7.000
17:48:01.338, 69.971, 0.536, 0.292, 0.122, 0.000, 1008, 854, 0, 56, 58, 61, 57, 9.459, 6.897, 10.311, 15.000
17:48:02.332, 70.965, 0.536, 0.282, 0.128, 0.000, 996, 860, 0, 56, 57, 61, 57, 9.524, 9.045, 9.683, 1.000
17:48:03.328, 71.961, 0.938, 0.520, 0.262, 0.038, 1233, 1338, 27, 55, 57, 61, 57, 13.500, 15.578, 12.812, 23.000
17:48:04.344, 72.977, 8.320, 5.198, 1.022, 0.064, 2003, 2823, 90, 55, 57, 60, 57, 37.901, 79.902, 23.762, 20.000
17:48:05.335, 73.968, 1.206, 0.752, 0.272, 0.028, 1068, 1590, 18, 58, 60, 63, 58, 22.222, 14.646, 24.747, 41.000
17:48:06.353, 74.986, 0.804, 0.404, 0.170, 0.008, 1025, 937, 382, 57, 58, 60, 57, 12.270, 11.330, 12.582, 5.000
17:48:07.329, 75.962, 0.468, 0.208, 0.110, 0.000, 1025, 827, 0, 56, 57, 61, 57, 8.656, 7.692, 8.981, 2.000
17:48:08.333, 76.966, 1.274, 0.320, 0.326, 0.000, 1010, 867, 0, 55, 57, 61, 57, 20.025, 49.254, 10.362, 1.000
17:48:09.333, 77.966, 0.536, 0.262, 0.134, 0.000, 1021, 841, 0, 55, 57, 61, 57, 9.714, 8.458, 10.133, 1.000
17:48:10.329, 78.962, 0.738, 0.408, 0.234, 0.040, 1167, 1486, 31, 55, 57, 60, 57, 11.602, 12.626, 11.261, 23.000
17:48:11.352, 79.985, 9.126, 5.710, 1.086, 0.082, 1559, 3097, 106, 55, 57, 60, 57, 24.574, 17.073, 27.066, 29.000
17:48:12.340, 80.973, 1.274, 0.874, 0.282, 0.018, 1168, 1548, 13, 58, 60, 63, 57, 22.392, 15.306, 24.746, 41.000
